PCA,Camada oculta,LBFGS,VC,Media,SGD,VC,Media,ADAM,VC,Media
68,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
69,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
70,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
71,11,,0.50333333333333341,0.5,,0.5,0.5,,0.47000000000000003,0.46551724137931033
72,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
73,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
74,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
75,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
76,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
77,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
78,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
79,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
80,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
81,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
82,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
83,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
84,12,,0.53333333333333333,0.60344827586206895,,0.5,0.5,,0.46666666666666667,0.51724137931034486
85,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
86,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
87,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
88,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
89,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
90,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
