PCA,LBFGS,Validação cruzada,Média,SGD,Validação cruzada,Média,ADAM,Validação cruzada,Média
89,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
90,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
91,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
92,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
93,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
94,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
95,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
96,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
97,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
98,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
99,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
100,,0.423333333,0.413793103,,0.5,0.5,,0.413333333,0.517241379
